title,artist,old_low,old_high,new_low,new_high,source_url
Sweet Baby James,James Taylor,G2,C4,A2,C#4,https://singingcarrots.com/artist-range?artist=James%20Taylor
You've Got a Friend,James Taylor,G2,C4,G2,B3,https://singingcarrots.com/artist-range?artist=James%20Taylor
Carolina in My Mind,James Taylor,G2,C4,C3,D4,https://singingcarrots.com/artist-range?artist=James%20Taylor
Country Road,James Taylor,G2,C4,A2,D4,https://singingcarrots.com/artist-range?artist=James%20Taylor
Shower the People,James Taylor,G2,C4,D3,D4,https://singingcarrots.com/artist-range?artist=James%20Taylor
Big Green Tractor,Jason Aldean,G2,C4,G#2,E4,https://singingcarrots.com/artist-range?artist=Jason%20Aldean
Dirt Road Anthem,Jason Aldean,G2,C4,D3,D4,https://singingcarrots.com/artist-range?artist=Jason%20Aldean
Amarillo Sky,Jason Aldean,G2,C4,A2,A4,https://singingcarrots.com/artist-range?artist=Jason%20Aldean
I'm Yours,Jason Mraz,A2,D4,F3,F4,https://singingcarrots.com/artist-range?artist=Jason%20Mraz
Hallelujah,Jeff Buckley,A2,D4,C3,F#4,https://singingcarrots.com/artist-range?artist=Jeff%20Buckley
This Is the Moment,Jekyll & Hyde,C3,A#4,E4,G5,https://singingcarrots.com/artist-range?artist=Jekyll%20%26%20Hyde
Time in a Bottle,Jim Croce,G2,C4,A2,C4,https://singingcarrots.com/artist-range?artist=Jim%20Croce
Four Walls,Jim Reeves,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=Jim%20Reeves
Welcome to My World,Jim Reeves,G2,C4,B2,B3,https://singingcarrots.com/artist-range?artist=Jim%20Reeves
He'll Have to Go,Jim Reeves,G2,C4,A#2,D#4,https://singingcarrots.com/artist-range?artist=Jim%20Reeves
Come Monday,Jimmy Buffett,G2,C4,E2,B3,https://singingcarrots.com/artist-range?artist=Jimmy%20Buffett
Margaritaville,Jimmy Buffett,G2,C4,F2,C4,https://singingcarrots.com/artist-range?artist=Jimmy%20Buffett
Cheeseburger in Paradise,Jimmy Buffett,G2,C4,E3,F#5,https://singingcarrots.com/artist-range?artist=Jimmy%20Buffett
Diamonds & Rust,Joan Baez,G2,C4,G3,A#4,https://singingcarrots.com/artist-range?artist=Joan%20Baez
"Take Me Home, Country Roads",John Denver,G2,D4,E3,F#4,https://singingcarrots.com/artist-range?artist=John%20Denver
Annie's Song,John Denver,A2,D4,F#3,E4,https://singingcarrots.com/artist-range?artist=John%20Denver
Leaving on a Jet Plane,John Denver,A2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=John%20Denver
All of Me,John Legend,A2,D4,D#3,A#4,https://singingcarrots.com/artist-range?artist=John%20Legend
Ordinary People,John Legend,A2,D4,A#2,A#4,https://singingcarrots.com/artist-range?artist=John%20Legend
I Swear,John Michael Montgomery,A2,D4,C3,F4,https://singingcarrots.com/artist-range?artist=John%20Michael%20Montgomery
Ring of Fire,Johnny Cash,G2,C4,F#3,A4,https://singingcarrots.com/artist-range?artist=Johnny%20Cash
A Boy Named Sue,Johnny Cash,G2,C4,D3,G3,https://singingcarrots.com/artist-range?artist=Johnny%20Cash
Folsom Prison Blues,Johnny Cash,G2,C4,F2,C4,https://singingcarrots.com/artist-range?artist=Johnny%20Cash
I Walk the Line,Johnny Cash,F2,A#3,D2,C4,https://singingcarrots.com/artist-range?artist=Johnny%20Cash
Man in Black,Johnny Cash,G2,C4,A2,D4,https://singingcarrots.com/artist-range?artist=Johnny%20Cash
Chances Are,Johnny Mathis,G2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=Johnny%20Mathis
Both Sides Now,Joni Mitchell,A2,D4,F#3,Cb5,https://singingcarrots.com/artist-range?artist=Joni%20Mitchell
Big Yellow Taxi,Joni Mitchell,A2,D4,E3,F#5,https://singingcarrots.com/artist-range?artist=Joni%20Mitchell
Don't Stop Believin',Journey,B3,C#5,B3,C#5,https://singingcarrots.com/artist-range?artist=Journey
Faithfully,Journey,B2,B3,B2,B3,https://singingcarrots.com/artist-range?artist=Journey
Open Arms,Journey,A2,D4,A2,D4,https://singingcarrots.com/artist-range?artist=Journey
Any Way You Want It,Journey,D3,C5,D3,C5,https://singingcarrots.com/artist-range?artist=Journey
Dust in the Wind,Kansas,G2,D4,A2,B3,https://singingcarrots.com/artist-range?artist=Kansas
Carry On Wayward Son,Kansas,G2,F4,F3,C5,https://singingcarrots.com/artist-range?artist=Kansas
Somewhere Only We Know,Keane,A2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=Keane
Danny's Song,Kenny Loggins,G2,C4,D3,F#4,https://singingcarrots.com/artist-range?artist=Kenny%20Loggins
Coward of the County,Kenny Rogers,G2,C4,G2,E4,https://singingcarrots.com/artist-range?artist=Kenny%20Rogers
The Gambler,Kenny Rogers,G2,C4,A#2,E4,https://singingcarrots.com/artist-range?artist=Kenny%20Rogers
Islands in the Stream,Kenny Rogers & Dolly Parton,G2,C4,C4,F5,https://singingcarrots.com/artist-range?artist=Kenny%20Rogers%20%26%20Dolly%20Parton
All I Want,Kodaline,A2,D4,B3,C5,https://singingcarrots.com/artist-range?artist=Kodaline
High Hopes,Kodaline,F2,D4,B2,B4,https://singingcarrots.com/artist-range?artist=Kodaline
Me and Bobby McGee,Kris Kristofferson,G2,C4,E2,D#4,https://singingcarrots.com/artist-range?artist=Kris%20Kristofferson
Sunday Morning Coming Down,Kris Kristofferson,G2,C4,E2,F#4,https://singingcarrots.com/artist-range?artist=Kris%20Kristofferson
Long Black Veil,Lefty Frizzell,G2,C4,C3,C4,https://singingcarrots.com/artist-range?artist=Lefty%20Frizzell
Fly Away,Lenny Kravitz,G2,D4,G2,C4,https://singingcarrots.com/artist-range?artist=Lenny%20Kravitz
Suzanne,Leonard Cohen,G2,C4,E3,F#4,https://singingcarrots.com/artist-range?artist=Leonard%20Cohen
"So Long, Marianne",Leonard Cohen,G2,C4,G2,C4,https://singingcarrots.com/artist-range?artist=Leonard%20Cohen
Bird on the Wire,Leonard Cohen,G2,C4,G2,E4,https://singingcarrots.com/artist-range?artist=Leonard%20Cohen
Who Am I?,Les Misérables,C3,F4,A#3,A#5,https://singingcarrots.com/artist-range?artist=Les%20Mis%C3%A9rables
Empty Chairs at Empty Tables,Les Misérables,C3,F4,A3,G5,https://singingcarrots.com/artist-range?artist=Les%20Mis%C3%A9rables
Javert's Suicide,Les Misérables,C3,F4,C4,F#5,https://singingcarrots.com/artist-range?artist=Les%20Mis%C3%A9rables
One Day More,Les Misérables,C3,F4,D#3,A5,https://singingcarrots.com/artist-range?artist=Les%20Mis%C3%A9rables
Master of the House,Les Misérables,C3,D4,B3,F5,https://singingcarrots.com/artist-range?artist=Les%20Mis%C3%A9rables
Suddenly Seymour,Little Shop of Horrors,C3,D4,C#4,C#5,https://singingcarrots.com/artist-range?artist=Little%20Shop%20of%20Horrors
Grow for Me,Little Shop of Horrors,C3,D4,A#3,E5,https://singingcarrots.com/artist-range?artist=Little%20Shop%20of%20Horrors
Amazed,Lonestar,A2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=Lonestar
What a Wonderful World,Louis Armstrong,F2,A#3,E2,A4,https://singingcarrots.com/artist-range?artist=Louis%20Armstrong
Never Too Much,Luther Vandross,G2,D4,A3,B4,https://singingcarrots.com/artist-range?artist=Luther%20Vandross
Here and Now,Luther Vandross,G2,D4,C3,B4,https://singingcarrots.com/artist-range?artist=Luther%20Vandross
Dance with My Father,Luther Vandross,G2,D4,F3,G4,https://singingcarrots.com/artist-range?artist=Luther%20Vandross
Sweet Home Alabama,Lynyrd Skynyrd,G2,C4,G3,F#4,https://singingcarrots.com/artist-range?artist=Lynyrd%20Skynyrd
Simple Man,Lynyrd Skynyrd,G2,C4,G3,A4,https://singingcarrots.com/artist-range?artist=Lynyrd%20Skynyrd
Free Bird,Lynyrd Skynyrd,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Lynyrd%20Skynyrd
The Impossible Dream,Man of La Mancha,C3,G#4,C3,D#4,https://singingcarrots.com/artist-range?artist=Man%20of%20La%20Mancha
She Will Be Loved,Maroon 5,A2,D4,G3,A#4,https://singingcarrots.com/artist-range?artist=Maroon%205
Sunday Morning,Maroon 5,A2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=Maroon%205
Sugar,Maroon 5,A2,D4,C#3,G#4,https://singingcarrots.com/artist-range?artist=Maroon%205
This Love,Maroon 5,A2,D4,C3,B4,https://singingcarrots.com/artist-range?artist=Maroon%205
Daylight,Maroon 5,A2,D4,B2,B4,https://singingcarrots.com/artist-range?artist=Maroon%205
El Paso,Marty Robbins,G2,C4,D3,B4,https://singingcarrots.com/artist-range?artist=Marty%20Robbins
Big Iron,Marty Robbins,G2,C4,C3,D4,https://singingcarrots.com/artist-range?artist=Marty%20Robbins
Devil Woman,Marty Robbins,G2,C4,C#3,F#4,https://singingcarrots.com/artist-range?artist=Marty%20Robbins
I Heard It Through the Grapevine,Marvin Gaye,G2,D4,A#3,D#5,https://singingcarrots.com/artist-range?artist=Marvin%20Gaye
What's Going On,Marvin Gaye,G2,D4,E3,B4,https://singingcarrots.com/artist-range?artist=Marvin%20Gaye
Let's Get It On,Marvin Gaye,G2,D4,A#2,D#4,https://singingcarrots.com/artist-range?artist=Marvin%20Gaye
Sexual Healing,Marvin Gaye,A2,D4,E3,A4,https://singingcarrots.com/artist-range?artist=Marvin%20Gaye
3AM,Matchbox Twenty,G2,C4,D#3,F4,https://singingcarrots.com/artist-range?artist=Matchbox%20Twenty
Unwell,Matchbox Twenty,G2,C4,C#3,F#4,https://singingcarrots.com/artist-range?artist=Matchbox%20Twenty
Lord I Need You,Matt Maher,G2,D4,A#2,F4,https://singingcarrots.com/artist-range?artist=Matt%20Maher
"10,000 Reasons (Bless the Lord)",Matt Redman,G2,D4,G2,B3,https://singingcarrots.com/artist-range?artist=Matt%20Redman
Blessed Be Your Name,Matt Redman,G2,D4,C3,F4,https://singingcarrots.com/artist-range?artist=Matt%20Redman
Above All,Michael W. Smith,G2,D4,A2,C4,https://singingcarrots.com/artist-range?artist=Michael%20W.%20Smith
Friends,Michael W. Smith,G2,D4,D3,G#4,https://singingcarrots.com/artist-range?artist=Michael%20W.%20Smith
Great Is the Lord,Michael W. Smith,G2,D4,B2,E4,https://singingcarrots.com/artist-range?artist=Michael%20W.%20Smith
Bui Doi,Miss Saigon,C3,F4,G#3,A#5,https://singingcarrots.com/artist-range?artist=Miss%20Saigon
Broken Wings,Mr. Mister,G2,D4,F#3,G#4,https://singingcarrots.com/artist-range?artist=Mr.%20Mister
On the Street Where You Live,My Fair Lady,C3,A4,C4,F5,https://singingcarrots.com/artist-range?artist=My%20Fair%20Lady
Home Sweet Home,Mötley Crüe,G2,D4,A3,A#4,https://singingcarrots.com/artist-range?artist=M%C3%B6tley%20Cr%C3%BCe
Route 66,Nat King Cole,G2,D4,D2,G#4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Orange Colored Sky,Nat King Cole,G2,D4,C3,D#4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
L-O-V-E,Nat King Cole,G2,C4,C#3,B3,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Let There Be Love,Nat King Cole,G2,D4,G2,C#4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Nature Boy,Nat King Cole,G2,D4,A#2,D#4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Unforgettable,Nat King Cole,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Straighten Up and Fly Right,Nat King Cole,G2,D4,D#3,C4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
When I Fall in Love,Nat King Cole,G2,D4,G#2,C4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Ramblin' Rose,Nat King Cole,G2,D4,B2,E4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Mona Lisa,Nat King Cole,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=Nat%20King%20Cole
Sweet Caroline,Neil Diamond,G2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=Neil%20Diamond
Heart of Gold,Neil Young,G2,C4,D3,E4,https://singingcarrots.com/artist-range?artist=Neil%20Young
Old Man,Neil Young,G2,C4,A2,A4,https://singingcarrots.com/artist-range?artist=Neil%20Young
Helpless,Neil Young,G2,C4,A3,F#4,https://singingcarrots.com/artist-range?artist=Neil%20Young
Harvest Moon,Neil Young,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Neil%20Young
The Needle and the Damage Done,Neil Young,G2,C4,G3,F4,https://singingcarrots.com/artist-range?artist=Neil%20Young
Comes a Time,Neil Young,G2,C4,G3,F4,https://singingcarrots.com/artist-range?artist=Neil%20Young
Only Love Can Break Your Heart,Neil Young,G2,C4,G3,B4,https://singingcarrots.com/artist-range?artist=Neil%20Young
After the Gold Rush,Neil Young,G2,C4,B3,B4,https://singingcarrots.com/artist-range?artist=Neil%20Young
Sister Christian,Night Ranger,G2,D4,E3,C5,https://singingcarrots.com/artist-range?artist=Night%20Ranger
Feeling Good,Nina Simone,G2,G4,C3,A#4,https://singingcarrots.com/artist-range?artist=Nina%20Simone
Wonderwall,Oasis,D3,B3,G3,A4,https://singingcarrots.com/artist-range?artist=Oasis
Little Talks,Of Monsters and Men,A2,D4,A3,A5,https://singingcarrots.com/artist-range?artist=Of%20Monsters%20and%20Men
"Oh, What a Beautiful Mornin'",Oklahoma!,C3,D4,D#3,E4,https://singingcarrots.com/artist-range?artist=Oklahoma%21
People Will Say We're in Love,Oklahoma!,C3,D4,C3,E4,https://singingcarrots.com/artist-range?artist=Oklahoma%21
Surrey with the Fringe on Top,Oklahoma!,C3,D4,F#3,G4,https://singingcarrots.com/artist-range?artist=Oklahoma%21
Consider Yourself,Oliver!,C3,D4,A2,C4,https://singingcarrots.com/artist-range?artist=Oliver%21
Reviewing the Situation,Oliver!,C3,D4,C3,F4,https://singingcarrots.com/artist-range?artist=Oliver%21
Counting Stars,OneRepublic,A2,D4,C3,D5,https://singingcarrots.com/artist-range?artist=OneRepublic
Secrets,OneRepublic,A2,D4,B3,A4,https://singingcarrots.com/artist-range?artist=OneRepublic
Apologize,OneRepublic,A2,D4,F3,A#4,https://singingcarrots.com/artist-range?artist=OneRepublic
Good Life,OneRepublic,A2,D4,F#3,C#5,https://singingcarrots.com/artist-range?artist=OneRepublic
I Lived,OneRepublic,A2,D4,A2,A4,https://singingcarrots.com/artist-range?artist=OneRepublic
If I Lose Myself,OneRepublic,A2,D4,F#3,B4,https://singingcarrots.com/artist-range?artist=OneRepublic
(Sittin' On) The Dock of the Bay,Otis Redding,G2,C4,E3,G4,https://singingcarrots.com/artist-range?artist=Otis%20Redding
These Arms of Mine,Otis Redding,G2,D4,F3,F4,https://singingcarrots.com/artist-range?artist=Otis%20Redding
Try a Little Tenderness,Otis Redding,G2,D4,B2,D4,https://singingcarrots.com/artist-range?artist=Otis%20Redding
I've Been Loving You Too Long,Otis Redding,G2,D4,E3,A4,https://singingcarrots.com/artist-range?artist=Otis%20Redding
Mr. Pitiful,Otis Redding,G2,D4,C3,C5,https://singingcarrots.com/artist-range?artist=Otis%20Redding
Respect,Otis Redding,G2,D4,E3,G4,https://singingcarrots.com/artist-range?artist=Otis%20Redding
They Call the Wind Maria,Paint Your Wagon,C3,F4,C4,F5,https://singingcarrots.com/artist-range?artist=Paint%20Your%20Wagon
Build My Life,Pat Barrett,G2,D4,D#3,F4,https://singingcarrots.com/artist-range?artist=Pat%20Barrett
Crazy,Patsy Cline,G2,C4,D4,G5,https://singingcarrots.com/artist-range?artist=Patsy%20Cline
I Fall to Pieces,Patsy Cline,G2,C4,C4,E5,https://singingcarrots.com/artist-range?artist=Patsy%20Cline
Graceland,Paul Simon,G2,C4,C3,C4,https://singingcarrots.com/artist-range?artist=Paul%20Simon
American Tune,Paul Simon,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Paul%20Simon
Living Hope,Phil Wickham,G2,E4,D#3,G#4,https://singingcarrots.com/artist-range?artist=Phil%20Wickham
Wish You Were Here,Pink Floyd,G2,C4,G2,A3,https://singingcarrots.com/artist-range?artist=Pink%20Floyd
Time,Pink Floyd,G2,D4,A2,A3,https://singingcarrots.com/artist-range?artist=Pink%20Floyd
Money,Pink Floyd,G2,D4,E3,F#4,https://singingcarrots.com/artist-range?artist=Pink%20Floyd
Corner of the Sky,Pippin,G2,A4,F3,C5,https://singingcarrots.com/artist-range?artist=Pippin
Hey There Delilah,Plain White T's,A2,D4,C#3,F#4,https://singingcarrots.com/artist-range?artist=Plain%20White%20T%27s
Every Rose Has Its Thorn,Poison,G2,D4,D#2,C#4,https://singingcarrots.com/artist-range?artist=Poison
Feel It Still,Portugal. The Man,A2,D4,B2,C#4,https://singingcarrots.com/artist-range?artist=Portugal.%20The%20Man
Amie,Pure Prairie League,G2,C4,C3,A4,https://singingcarrots.com/artist-range?artist=Pure%20Prairie%20League
Losing My Religion,R.E.M.,A2,D4,D3,C4,https://singingcarrots.com/artist-range?artist=R.E.M.
Everybody Hurts,R.E.M.,G2,C4,G2,A4,https://singingcarrots.com/artist-range?artist=R.E.M.
Streets of London,Ralph McTell,G2,C4,A2,A3,https://singingcarrots.com/artist-range?artist=Ralph%20McTell
"Forever and Ever, Amen",Randy Travis,G2,C4,A2,B3,https://singingcarrots.com/artist-range?artist=Randy%20Travis
Hit the Road Jack,Ray Charles,G2,C4,F2,D#4,https://singingcarrots.com/artist-range?artist=Ray%20Charles
Georgia on My Mind,Ray Charles,G2,D4,D3,E4,https://singingcarrots.com/artist-range?artist=Ray%20Charles
I Can't Stop Loving You,Ray Charles,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Ray%20Charles
Under the Bridge,Red Hot Chili Peppers,G2,C4,B2,G4,https://singingcarrots.com/artist-range?artist=Red%20Hot%20Chili%20Peppers
Seasons of Love,Rent,C3,D4,C4,D6,https://singingcarrots.com/artist-range?artist=Rent
What You Own,Rent,C3,D4,D4,F5,https://singingcarrots.com/artist-range?artist=Rent
Without You,Rent,C3,D4,F#3,A4,https://singingcarrots.com/artist-range?artist=Rent
I'll Cover You,Rent,C3,D4,C4,A5,https://singingcarrots.com/artist-range?artist=Rent
One Song Glory,Rent,C3,D4,D4,A5,https://singingcarrots.com/artist-range?artist=Rent
Santa Fe,Rent,C3,D4,A3,F#5,https://singingcarrots.com/artist-range?artist=Rent
Angels,Robbie Williams,A2,D4,E2,B4,https://singingcarrots.com/artist-range?artist=Robbie%20Williams
She's the One,Robbie Williams,A2,D4,F3,C5,https://singingcarrots.com/artist-range?artist=Robbie%20Williams
Feel,Robbie Williams,A2,D4,A2,A#4,https://singingcarrots.com/artist-range?artist=Robbie%20Williams
Days of Elijah,Robin Mark,G2,D4,G2,C4,https://singingcarrots.com/artist-range?artist=Robin%20Mark
King of the Road,Roger Miller,G2,C4,A#2,F#4,https://singingcarrots.com/artist-range?artist=Roger%20Miller
Dang Me,Roger Miller,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Roger%20Miller
Little Green Apples,Roger Miller,G2,C4,C#3,D4,https://singingcarrots.com/artist-range?artist=Roger%20Miller
Chain Gang,Sam Cooke,G2,D4,D2,G4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
Bring It On Home to Me,Sam Cooke,G2,D4,G3,A4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
Cupid,Sam Cooke,G2,C4,A2,C4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
Twistin' the Night Away,Sam Cooke,G2,D4,F#3,F#4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
Wonderful World,Sam Cooke,G2,D4,G#2,B4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
A Change Is Gonna Come,Sam Cooke,G2,D4,F3,A#4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
You Send Me,Sam Cooke,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=Sam%20Cooke
I'm Not the Only One,Sam Smith,A2,D4,F4,C6,https://singingcarrots.com/artist-range?artist=Sam%20Smith
Still Loving You,Scorpions,G2,D4,F#2,D5,https://singingcarrots.com/artist-range?artist=Scorpions
Wind of Change,Scorpions,G2,D4,G4,G5,https://singingcarrots.com/artist-range?artist=Scorpions
Kiss from a Rose,Seal,A2,F4,D3,C5,https://singingcarrots.com/artist-range?artist=Seal
Stitches,Shawn Mendes,A2,D4,G2,C4,https://singingcarrots.com/artist-range?artist=Shawn%20Mendes
There's Nothing Holdin' Me Back,Shawn Mendes,A2,D4,A2,A4,https://singingcarrots.com/artist-range?artist=Shawn%20Mendes
Treat You Better,Shawn Mendes,A2,D4,D3,A4,https://singingcarrots.com/artist-range?artist=Shawn%20Mendes
Mercy,Shawn Mendes,A2,D4,B2,A4,https://singingcarrots.com/artist-range?artist=Shawn%20Mendes
Ol' Man River,Show Boat,D2,D#4,A#3,G5,https://singingcarrots.com/artist-range?artist=Show%20Boat
The Sound of Silence,Simon & Garfunkel,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Simon%20%26%20Garfunkel
The Boxer,Simon & Garfunkel,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Simon%20%26%20Garfunkel
Scarborough Fair,Simon & Garfunkel,G2,C4,C3,D4,https://singingcarrots.com/artist-range?artist=Simon%20%26%20Garfunkel
Homeward Bound,Simon & Garfunkel,G2,C4,G2,C4,https://singingcarrots.com/artist-range?artist=Simon%20%26%20Garfunkel
Good Morning,Singin' in the Rain,C3,D4,A#3,C5,https://singingcarrots.com/artist-range?artist=Singin%27%20in%20the%20Rain
Make 'Em Laugh,Singin' in the Rain,C3,D4,C4,F5,https://singingcarrots.com/artist-range?artist=Singin%27%20in%20the%20Rain
I Remember You,Skid Row,G2,D4,G3,F5,https://singingcarrots.com/artist-range?artist=Skid%20Row
Cruisin',Smokey Robinson,G2,D4,D3,G#4,https://singingcarrots.com/artist-range?artist=Smokey%20Robinson
Being with You,Smokey Robinson,G2,D4,G3,A#4,https://singingcarrots.com/artist-range?artist=Smokey%20Robinson
Chasing Cars,Snow Patrol,G2,D4,E3,D4,https://singingcarrots.com/artist-range?artist=Snow%20Patrol
Some Enchanted Evening,South Pacific,D3,F4,C3,D4,https://singingcarrots.com/artist-range?artist=South%20Pacific
Younger Than Springtime,South Pacific,C3,F4,B2,D4,https://singingcarrots.com/artist-range?artist=South%20Pacific
This Nearly Was Mine,South Pacific,C3,F4,D3,F4,https://singingcarrots.com/artist-range?artist=South%20Pacific
There Is Nothin' Like a Dame,South Pacific,C3,D4,C3,F4,https://singingcarrots.com/artist-range?artist=South%20Pacific
It's a Grand Night for Singing,State Fair,C3,D4,D4,E5,https://singingcarrots.com/artist-range?artist=State%20Fair
My Cherie Amour,Stevie Wonder,G2,D4,D3,D4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
Superstition,Stevie Wonder,G2,D4,D#3,A#4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
Isn't She Lovely,Stevie Wonder,G2,D4,E2,B3,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
I Just Called to Say I Love You,Stevie Wonder,G2,D4,C3,F4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
Higher Ground,Stevie Wonder,G2,D4,A2,C4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,G2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
Sir Duke,Stevie Wonder,G2,D4,F#3,B4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
Ribbon in the Sky,Stevie Wonder,G2,D4,D#3,C5,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
For Once in My Life,Stevie Wonder,G2,D4,G3,F5,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
You Are the Sunshine of My Life,Stevie Wonder,G2,C4,E3,A4,https://singingcarrots.com/artist-range?artist=Stevie%20Wonder
Fields of Gold,Sting,G2,D4,D3,D4,https://singingcarrots.com/artist-range?artist=Sting
Fragile,Sting,G2,C4,E3,A4,https://singingcarrots.com/artist-range?artist=Sting
Babe,Styx,G2,D4,A3,C5,https://singingcarrots.com/artist-range?artist=Styx
Come Sail Away,Styx,G2,F4,C4,G#4,https://singingcarrots.com/artist-range?artist=Styx
Not While I'm Around,Sweeney Todd,C3,D4,G2,D#4,https://singingcarrots.com/artist-range?artist=Sweeney%20Todd
House of the Rising Sun,The Animals,A2,E4,A2,A4,https://singingcarrots.com/artist-range?artist=The%20Animals
Up on Cripple Creek,The Band,G2,D4,D3,B4,https://singingcarrots.com/artist-range?artist=The%20Band
The Weight,The Band,G2,D4,E3,F#4,https://singingcarrots.com/artist-range?artist=The%20Band
Ophelia,The Band,G2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=The%20Band
The Night They Drove Old Dixie Down,The Band,G2,C4,C3,G4,https://singingcarrots.com/artist-range?artist=The%20Band
Yesterday,The Beatles,G2,C4,D3,F4,https://singingcarrots.com/artist-range?artist=The%20Beatles
Here Comes the Sun,The Beatles,A2,D4,D3,B3,https://singingcarrots.com/artist-range?artist=The%20Beatles
Let It Be,The Beatles,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=The%20Beatles
Blackbird,The Beatles,G2,C4,E3,G4,https://singingcarrots.com/artist-range?artist=The%20Beatles
Hey Jude,The Beatles,G2,D4,C#3,A4,https://singingcarrots.com/artist-range?artist=The%20Beatles
In My Life,The Beatles,G2,C4,C3,C4,https://singingcarrots.com/artist-range?artist=The%20Beatles
She Talks to Angels,The Black Crowes,G2,D4,C3,G4,https://singingcarrots.com/artist-range?artist=The%20Black%20Crowes
Hard to Handle,The Black Crowes,G2,D4,F#3,B4,https://singingcarrots.com/artist-range?artist=The%20Black%20Crowes
This Can't Be Love,The Boys from Syracuse,C3,D4,C#4,E5,https://singingcarrots.com/artist-range?artist=The%20Boys%20from%20Syracuse
Keep on the Sunny Side,The Carter Family,G2,C4,F3,G4,https://singingcarrots.com/artist-range?artist=The%20Carter%20Family
Try to Remember,The Fantasticks,C3,E4,B3,D5,https://singingcarrots.com/artist-range?artist=The%20Fantasticks
A Million Dreams,The Greatest Showman,C3,D4,C2,C5,https://singingcarrots.com/artist-range?artist=The%20Greatest%20Showman
From Now On,The Greatest Showman,C3,D4,C#3,E5,https://singingcarrots.com/artist-range?artist=The%20Greatest%20Showman
These Eyes,The Guess Who,G2,D4,G2,C4,https://singingcarrots.com/artist-range?artist=The%20Guess%20Who
American Woman,The Guess Who,G2,D4,D3,B4,https://singingcarrots.com/artist-range?artist=The%20Guess%20Who
Rivers and Roads,The Head and the Heart,A2,D4,G3,E5,https://singingcarrots.com/artist-range?artist=The%20Head%20and%20the%20Heart
Shall We Dance,The King and I,C3,D4,C4,A#4,https://singingcarrots.com/artist-range?artist=The%20King%20and%20I
A Puzzlement,The King and I,C3,D4,C4,E5,https://singingcarrots.com/artist-range?artist=The%20King%20and%20I
Tom Dooley,The Kingston Trio,G2,C4,D3,B3,https://singingcarrots.com/artist-range?artist=The%20Kingston%20Trio
Circle of Life,The Lion King,C3,D4,G2,C5,https://singingcarrots.com/artist-range?artist=The%20Lion%20King
Can You Feel the Love Tonight,The Lion King,G2,G3,F3,G4,https://singingcarrots.com/artist-range?artist=The%20Lion%20King
Ho Hey,The Lumineers,A2,D4,A2,G4,https://singingcarrots.com/artist-range?artist=The%20Lumineers
Til There Was You,The Music Man,C3,D4,D4,F5,https://singingcarrots.com/artist-range?artist=The%20Music%20Man
The Wells Fargo Wagon,The Music Man,C3,D4,B3,D5,https://singingcarrots.com/artist-range?artist=The%20Music%20Man
